,avg_price_per_room,lead_time,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,no_of_adults,repeated_guest,arrival_year,no_of_special_requests
12657,-0.4980986101577876,0.42656582886382904,0.0,0.0,1.0,0.0,1,0,2018,0
28496,-0.22829899652959207,-0.8662726783356028,0.0,0.0,0.0,1.0,2,0,2018,1
6496,0.6146824966842418,-0.21402982785661015,0.0,0.0,0.0,1.0,2,0,2018,1
36229,0.0938667868323457,-0.5052096718204462,0.0,0.0,0.0,1.0,3,0,2017,1
1719,0.1564785115139945,-0.9478030346454769,0.0,0.0,1.0,0.0,2,0,2018,0
35397,-1.2665152312507493,-0.9478030346454769,0.0,1.0,0.0,0.0,1,0,2018,0
8374,-0.4269489230195504,0.5546849602079169,0.0,0.0,0.0,1.0,2,0,2018,0
33096,-1.3735243607066578,-0.13249947154673608,0.0,0.0,0.0,1.0,2,0,2018,0
3246,-0.02281870007436312,-0.9710974221625838,0.0,0.0,0.0,1.0,1,0,2018,0
14526,-0.2561896738877812,0.5779793477250238,0.0,0.0,0.0,1.0,2,0,2018,2
14555,0.05402296203493312,0.4964489914151497,0.0,0.0,1.0,0.0,3,0,2018,1
8304,-0.41271898559190295,-0.9943918096796907,0.0,0.0,0.0,1.0,2,0,2018,0
27073,-0.640397984434262,-0.92450864712837,0.0,0.0,0.0,1.0,2,0,2017,0
22013,-0.5265584850130824,-0.55179844685466,0.0,1.0,0.0,0.0,2,0,2018,0
28522,1.4940926297128536,-0.7614479345086218,0.0,0.0,0.0,1.0,1,0,2018,0
5128,-0.3572222296240779,1.8009346923731353,0.0,0.0,0.0,1.0,2,0,2018,2
20757,-0.8168492085370903,-0.5983872218888737,0.0,0.0,0.0,1.0,1,0,2018,2
28836,-0.8111572335660312,-0.07426350275396887,0.0,0.0,1.0,0.0,2,0,2017,0
2798,0.6246434528835952,0.4731546038980428,0.0,0.0,0.0,1.0,2,0,2018,2
26914,-0.44117886044719784,-0.9478030346454769,0.0,0.0,0.0,1.0,1,0,2018,1
2622,0.6146824966842418,-0.633328803164534,0.0,0.0,0.0,1.0,2,0,2018,1
5685,-0.8111572335660312,-0.9710974221625838,0.0,0.0,1.0,0.0,2,0,2017,0
35698,-0.5481879899031067,-0.5867400281303202,0.0,0.0,0.0,1.0,2,0,2018,0
25839,0.6952239425247266,0.7177456728276651,0.0,0.0,0.0,1.0,3,0,2018,1
25753,0.7541358834751869,1.195280616928356,0.0,0.0,1.0,0.0,1,0,2018,0
5031,0.9732769198609571,1.0555142918257148,0.0,0.0,0.0,1.0,3,0,2018,2
30190,-1.09575598211898,-0.9943918096796907,0.0,1.0,0.0,0.0,1,0,2018,0
14637,2.917086372477597,-0.7381535469915149,0.0,0.0,0.0,1.0,3,0,2018,2
24138,0.9220491451214268,-0.633328803164534,0.0,0.0,0.0,1.0,2,0,2018,1
18941,1.3062574556679076,-0.14414666530528952,0.0,0.0,0.0,1.0,2,0,2018,1
13655,-0.1565801118942491,-0.9710974221625838,0.0,0.0,0.0,1.0,2,0,2018,0
880,-0.8111572335660312,-0.027674727719755106,0.0,0.0,1.0,0.0,2,0,2018,0
32849,-0.07120048732836448,-0.9012142596112631,0.0,1.0,0.0,0.0,1,0,2018,0
10031,-0.6603198968329684,-0.8662726783356028,0.0,0.0,0.0,1.0,2,0,2018,1
22508,-0.2561896738877812,1.2418693919625698,0.0,0.0,0.0,1.0,2,0,2018,0
4168,0.7797497708449525,-0.5401512530961065,0.0,0.0,0.0,1.0,3,0,2018,2
4361,0.7541358834751869,1.195280616928356,0.0,0.0,0.0,1.0,1,0,2018,0
2710,-0.9403650654090701,-0.24897140913227048,0.0,0.0,0.0,1.0,2,0,2018,0
17162,-0.20496189914825047,-0.5401512530961065,0.0,0.0,0.0,1.0,2,0,2017,2
21634,0.45587639499169647,-0.44697370302767897,0.0,0.0,0.0,1.0,2,0,2018,0
1246,0.1564785115139945,-0.13249947154673608,0.0,0.0,1.0,0.0,2,0,2017,0
664,2.6182576864970013,-0.6799175781987478,0.0,0.0,0.0,1.0,2,0,2018,2
30867,0.32723776064576376,1.9872897925099902,0.0,0.0,1.0,0.0,2,0,2018,1
6341,-0.41271898559190295,2.5463550929205554,0.0,0.0,0.0,1.0,2,0,2018,0
16178,-0.24195973646013372,2.115408923854078,0.0,0.0,1.0,0.0,2,0,2018,0
18805,0.48661305983541486,-0.6100344156474271,0.0,0.0,0.0,1.0,1,0,2018,1
29464,-0.48813765395843456,-0.44697370302767897,0.0,0.0,0.0,1.0,2,0,2018,1
11131,0.40977139772611904,-0.3654433467178049,0.0,0.0,0.0,1.0,2,0,2018,0
16744,-0.6475129531480857,0.11209159738288618,0.0,0.0,1.0,0.0,2,0,2018,0
19527,-0.46110077284590434,0.042208434831565535,0.0,0.0,0.0,1.0,2,0,2018,1
2805,1.3318713430376732,0.21691634120986714,0.0,0.0,0.0,1.0,3,0,2018,0
20546,0.09642817556932233,0.822570416654646,0.0,0.0,0.0,1.0,2,0,2018,1
25836,0.7541358834751869,1.486460460892192,0.0,0.0,1.0,0.0,2,0,2018,0
15822,-1.0590427435556493,-0.4819152843033393,0.0,0.0,0.0,1.0,2,0,2018,1
7742,-0.3572222296240779,0.007266853555905214,0.0,0.0,0.0,1.0,2,0,2018,1
5425,0.1408255803435824,-0.08591069651252231,0.0,0.0,0.0,1.0,2,0,2018,1
7651,1.0501185819702537,-0.1092050840296292,0.0,0.0,0.0,1.0,2,0,2018,1
8511,0.2475501110509382,0.9856311292743942,0.0,0.0,0.0,1.0,2,0,2018,1
261,-1.0246062949807428,-0.9478030346454769,0.0,0.0,0.0,1.0,2,0,2018,0
25961,-0.2561896738877812,0.53139057269081,0.0,0.0,1.0,0.0,2,0,2017,0
24711,0.32723776064576376,-0.7730951282671753,0.0,0.0,0.0,1.0,3,0,2018,0
21981,-0.5427806136806004,0.13538598489999307,0.0,0.0,0.0,1.0,2,0,2018,0
853,0.725676008619892,-0.9943918096796907,0.0,0.0,0.0,1.0,2,0,2018,1
15944,-0.3842591107366081,2.2085864739225056,0.0,0.0,1.0,0.0,2,0,2018,0
1475,0.2347431673660554,-0.8080367095428356,0.0,0.0,0.0,1.0,2,0,2017,1
14987,-0.24195973646013372,0.7060984790691116,0.0,0.0,1.0,0.0,2,0,2018,0
26238,-0.8652309957910916,-0.5867400281303202,0.0,0.0,0.0,1.0,2,0,2018,0
12361,-0.9415034604032817,-0.7614479345086218,0.0,0.0,0.0,1.0,2,0,2017,0
34670,0.8110556331857766,1.2302221982040165,0.0,0.0,1.0,0.0,2,0,2018,0
374,-1.008384166313225,-0.5750928343717668,0.0,0.0,0.0,1.0,2,0,2018,1
3643,0.30731584824705727,0.22856353496842058,0.0,0.0,0.0,1.0,2,0,2018,1
29879,0.1849383863692894,-0.8779198720941562,0.0,0.0,0.0,0.0,1,0,2018,0
21082,-0.46195456909156324,-0.92450864712837,0.0,0.0,0.0,1.0,2,0,2017,1
26995,-0.20496189914825047,0.9506895479987338,0.0,0.0,0.0,1.0,1,0,2018,0
28581,1.101346356709784,0.6129209290006841,0.0,0.0,0.0,1.0,3,0,2018,0
24048,2.3356511291839226,-0.9594502284040304,0.0,0.0,0.0,1.0,3,0,2018,0
27583,-0.3842591107366081,2.2085864739225056,0.0,0.0,1.0,0.0,2,0,2018,0
32881,1.2948735057257894,-0.6100344156474271,0.0,0.0,0.0,1.0,2,0,2018,1
10217,-0.8965368581319159,2.383294380300807,0.0,0.0,1.0,0.0,2,0,2018,0
13184,0.029832068407932233,1.8708178549244558,0.0,0.0,0.0,1.0,3,0,2018,0
10580,-0.3842591107366081,-0.12085227778818262,0.0,0.0,0.0,1.0,2,0,2018,0
644,-1.3598636207761163,-0.8546254845770493,0.0,0.0,0.0,1.0,2,0,2018,0
23947,-0.35579923588131324,-0.8313310970599425,0.0,0.0,0.0,1.0,2,0,2018,1
30244,-1.2949751061060442,-0.9128614533698166,0.0,0.0,1.0,0.0,2,0,2017,0
18314,-1.3803547306719286,-0.9478030346454769,0.0,0.0,1.0,0.0,2,0,2017,0
8447,-0.5439190086748124,1.0671614855842684,0.0,0.0,0.0,1.0,2,0,2018,0
20926,0.15363252402846517,1.0555142918257148,0.0,0.0,0.0,1.0,2,0,2018,0
16151,1.8071512531210971,-0.9361558408869235,0.0,0.0,0.0,1.0,2,0,2018,0
5181,-0.7172396465435582,2.592943867954769,0.0,0.0,0.0,1.0,2,0,2018,1
24460,0.2475501110509382,0.030561241073012096,0.0,0.0,1.0,0.0,2,0,2017,0
8771,-0.6688578592895569,-0.9478030346454769,0.0,1.0,0.0,0.0,2,0,2018,0
11060,-0.6475129531480857,1.195280616928356,0.0,0.0,0.0,1.0,2,0,2018,1
30761,-0.20894628162799178,-0.4586208967862324,0.0,0.0,0.0,1.0,2,0,2018,1
26648,-1.0388362324083902,-0.8895670658527097,0.0,1.0,0.0,0.0,1,1,2018,1
8370,2.575567874214059,-0.8895670658527097,0.0,0.0,0.0,1.0,2,0,2018,2
7221,-0.8111572335660312,-0.9943918096796907,0.0,1.0,0.0,0.0,2,1,2018,0
11895,0.05117697454940339,1.742698723580368,0.0,0.0,0.0,1.0,2,0,2018,2
19314,-0.5991311658940843,0.12373879114143962,0.0,0.0,1.0,0.0,2,0,2018,0
35852,-0.6768266242490394,0.5779793477250238,0.0,0.0,0.0,1.0,2,0,2018,1
36212,-0.6688578592895569,0.1819747599342068,0.0,0.0,1.0,0.0,2,0,2018,0
30690,-0.7257776090001465,1.4748132671336387,0.0,0.0,1.0,0.0,2,0,2018,1
27565,-0.8111572335660312,-0.6682703844401944,0.0,0.0,1.0,0.0,2,0,2018,2
35074,-0.8111572335660312,-0.842978290818496,0.0,0.0,1.0,0.0,1,0,2018,0
20872,0.025563087179638243,2.569649480437662,0.0,0.0,0.0,1.0,2,0,2018,3
13974,-0.5749402722670839,-0.4003849279934652,0.0,0.0,0.0,1.0,2,0,2018,1
18353,-0.6475129531480857,1.0671614855842684,0.0,0.0,1.0,0.0,2,0,2018,0
18116,1.1110227141605844,-0.7963895157842822,0.0,0.0,0.0,1.0,2,0,2018,0
32628,1.3574852304074378,-0.47026809054478586,0.0,0.0,0.0,1.0,3,0,2018,2
3813,-0.2561896738877812,1.847523467407349,0.0,0.0,0.0,1.0,2,0,2018,2
18331,0.9248951326069561,0.17032756617565337,0.0,0.0,0.0,1.0,2,0,2018,1
8241,-0.7684674212830889,-0.5168568655789996,0.0,0.0,0.0,1.0,1,0,2018,0
14307,-0.640397984434262,0.15868037241709995,0.0,1.0,0.0,0.0,1,0,2018,0
16257,-0.24195973646013372,1.2418693919625698,0.0,0.0,1.0,0.0,1,0,2018,0
12384,1.5225525045681485,-0.7148591594744081,0.0,0.0,0.0,1.0,3,0,2018,0
30173,0.725676008619892,-0.6566231906816409,0.0,0.0,0.0,1.0,1,0,2018,1
15575,-2.6041293494496083,-0.7847423220257287,0.0,0.0,0.0,1.0,2,0,2017,2
173,-0.34213849595077156,0.21691634120986714,0.0,0.0,0.0,1.0,2,0,2018,1
29160,0.8489072667433192,-0.9478030346454769,0.0,0.0,0.0,1.0,1,0,2018,2
2901,0.537840834574946,-0.5983872218888737,0.0,0.0,0.0,1.0,2,0,2018,0
1911,-1.0855104271710738,-0.24897140913227048,0.0,0.0,0.0,1.0,2,0,2018,2
9887,-0.5265584850130824,-0.9827446159211373,0.0,0.0,0.0,1.0,1,0,2018,0
